"WEC Canvass Reporting System",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Ward by Ward Report",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"2016 General Election",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"PRESIDENT OF THE UNITED STATES",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,"Total Votes Cast","REP","DEM","CON","LIB",,"WGR","IND","IND","IND","IND","IND","IND","IND","IND","IND","IND","IND",
,"CITY OF FRANKLIN Ward 15A",542,317,188,2,20,,6,0,0,0,3,0,0,0,0,0,0,0,6
,"CITY OF FRANKLIN Ward 15B",354,189,152,1,8,,0,0,0,0,1,0,0,0,0,0,0,0,3
,"CITY OF FRANKLIN Ward 16","1,125",631,424,3,44,,8,1,0,0,5,0,0,0,0,0,0,0,9
,"CITY OF FRANKLIN Ward 17",666,329,299,5,21,,3,0,0,0,4,0,0,0,0,0,0,0,5
,"CITY OF FRANKLIN Ward 18",418,233,160,2,13,,0,0,0,0,6,0,0,0,0,0,0,0,4
,"CITY OF FRANKLIN Ward 19","1,196",671,455,1,44,,5,0,1,0,9,0,0,0,0,0,0,0,10
,"CITY OF FRANKLIN Ward 20",622,276,310,0,26,,3,0,0,0,2,0,0,0,0,0,0,0,5
,"CITY OF FRANKLIN Ward 21",289,119,152,0,12,,2,0,0,0,1,0,0,0,0,0,0,0,3
,"CITY OF FRANKLIN Ward 22B",620,340,232,3,28,,3,0,1,0,3,0,0,0,0,0,0,0,10
,"CITY OF FRANKLIN Ward 22A",646,345,271,6,15,,4,1,0,0,2,0,0,0,0,0,0,0,2
,"CITY OF FRANKLIN Ward 23","1,129",651,400,3,50,,7,1,1,0,3,0,0,0,0,0,0,0,13
,"CITY OF GLENDALE Wards 1,7","1,243",341,815,1,45,,19,1,0,0,4,0,0,0,0,0,0,0,17
,"CITY OF GLENDALE Wards 2,8S",878,215,610,2,26,,11,0,0,0,2,0,0,0,0,0,0,0,12
,"CITY OF GLENDALE Wards 3,9","1,367",429,852,1,50,,13,0,0,0,9,0,0,0,0,0,0,0,13
,"CITY OF GLENDALE Wards 4,10","1,487",459,968,2,27,,4,1,1,0,9,1,0,0,0,0,0,0,15
,"CITY OF GLENDALE Wards 5,11","1,206",344,790,6,35,,9,1,0,0,5,0,0,0,0,0,0,0,16
,"CITY OF GLENDALE Wards 6,12","1,129",312,760,1,27,,16,1,0,0,7,0,0,0,0,0,0,0,5
,"CITY OF GLENDALE Ward 8",483,164,305,2,5,,2,0,0,0,0,0,0,0,0,0,0,0,5
,"CITY OF GLENDALE Ward 11S",277,45,213,0,13,,4,0,0,0,0,0,0,0,0,0,0,0,2
,"CITY OF GREENFIELD Ward 1","1,026",438,502,2,43,,11,0,2,0,7,3,0,0,1,0,0,0,17
,"CITY OF GREENFIELD Ward 2",804,390,362,4,31,,2,0,0,0,3,0,0,0,0,0,0,0,12
,"CITY OF GREENFIELD Ward 3",803,332,412,6,28,,5,3,1,0,2,1,0,0,0,0,0,0,13
,"CITY OF GREENFIELD Ward 4",785,308,439,1,28,,1,0,0,0,1,0,0,0,0,0,0,0,7
,"CITY OF GREENFIELD Ward 5",978,461,476,2,21,,8,0,0,0,0,0,0,0,0,0,0,0,10
,"CITY OF GREENFIELD Ward 6",898,514,327,5,37,,3,0,0,0,5,0,0,0,0,0,0,0,7
,"CITY OF GREENFIELD Ward 7","1,074",574,424,6,36,,13,0,0,0,5,0,0,0,0,0,0,0,16
,"CITY OF GREENFIELD Ward 8","1,068",458,525,7,36,,15,0,0,0,7,0,0,0,0,0,0,0,20
,"CITY OF GREENFIELD Ward 9","1,030",512,435,9,41,,10,4,0,0,5,0,0,0,0,0,0,0,14
,"CITY OF GREENFIELD Ward 10",975,477,413,3,48,,8,0,1,0,9,0,0,0,0,0,0,0,16
,"CITY OF GREENFIELD Ward 11","1,182",649,460,3,37,,4,1,1,0,7,0,0,0,0,0,0,0,20
,"CITY OF GREENFIELD Ward 12","1,112",605,431,3,39,,5,1,0,0,7,0,0,0,0,0,0,0,21
,"CITY OF GREENFIELD Ward 13",618,276,312,5,14,,1,3,0,0,5,0,0,0,0,0,0,0,2
,"CITY OF GREENFIELD Ward 14",851,403,392,3,36,,4,0,0,0,3,0,0,0,0,0,0,0,10
,"CITY OF GREENFIELD Ward 15",818,424,335,5,39,,10,0,0,0,1,0,0,0,0,0,0,0,4
,"CITY OF GREENFIELD Ward 16",391,197,168,0,17,,3,0,0,0,0,0,0,0,0,0,0,0,6
,"CITY OF GREENFIELD Ward 17",775,342,380,5,24,,7,2,1,0,4,0,0,0,0,0,0,0,10
,"CITY OF GREENFIELD Ward 18",850,399,399,1,28,,9,1,1,0,4,0,0,0,0,0,0,0,8
,"CITY OF GREENFIELD Ward 19","1,235",533,624,2,48,,6,1,0,0,6,0,0,0,0,0,0,0,15
,"CITY OF GREENFIELD Ward 20","1,311",654,563,1,46,,10,0,1,0,12,1,0,0,0,0,0,0,23
,"CITY OF GREENFIELD Ward 21",782,344,388,1,26,,8,1,1,0,1,0,0,0,0,0,0,0,12
,"CITY OF MILWAUKEE Ward 1","1,201",222,935,7,12,,6,1,1,0,2,0,0,0,0,0,0,0,15
,"CITY OF MILWAUKEE Ward 2",405,30,361,2,3,,4,2,0,0,1,0,0,0,0,0,0,0,2
,"CITY OF MILWAUKEE Ward 3",971,178,761,3,12,,4,2,0,0,1,0,0,0,0,0,1,0,9
,"CITY OF MILWAUKEE Ward 4","1,573",204,"1,325",3,26,,5,0,0,0,0,0,0,0,0,0,0,0,10
,"CITY OF MILWAUKEE Ward 5",765,110,633,3,6,,5,0,0,0,2,0,0,0,0,0,0,0,6
,"CITY OF MILWAUKEE Ward 6","1,720",361,"1,294",2,40,,8,0,0,0,8,0,0,0,0,0,0,0,7
,"CITY OF MILWAUKEE Ward 7",601,167,403,6,11,,6,2,0,0,1,1,0,0,0,0,0,0,4
,"CITY OF MILWAUKEE Ward 8","1,417",311,"1,052",4,25,,6,1,1,0,0,0,0,0,0,0,0,0,17
,"CITY OF MILWAUKEE Ward 9",694,97,578,2,7,,3,0,1,0,0,0,0,0,0,0,0,0,6
,"CITY OF MILWAUKEE Ward 10","1,165",266,844,4,30,,7,0,2,0,1,0,0,0,0,0,0,0,11
,"CITY OF MILWAUKEE Ward 11","1,020",153,831,2,10,,8,0,2,0,3,0,0,0,0,0,0,0,11
,"CITY OF MILWAUKEE Ward 12",884,104,755,3,9,,9,0,0,0,0,0,0,0,0,0,0,0,4
,"CITY OF MILWAUKEE Ward 13",515,88,409,1,8,,4,1,0,0,0,0,0,0,0,0,0,0,4
,"CITY OF MILWAUKEE Ward 14",988,56,913,3,10,,3,1,0,0,0,0,0,0,0,0,0,0,2
,"CITY OF MILWAUKEE Ward 15",766,221,509,3,19,,8,0,0,0,1,0,0,0,0,0,0,0,5
,"CITY OF MILWAUKEE Ward 16","1,363",140,"1,183",4,17,,8,0,0,0,0,0,0,0,0,0,0,0,11
,"CITY OF MILWAUKEE Ward 17",588,122,446,1,9,,4,1,0,0,1,0,0,0,0,0,0,0,4
,"CITY OF MILWAUKEE Ward 18",911,133,737,2,12,,12,1,0,0,6,0,0,0,0,0,0,0,8
,"CITY OF MILWAUKEE Ward 19",698,90,594,3,5,,3,0,0,0,0,0,0,0,0,0,0,0,3
,"CITY OF MILWAUKEE Ward 20",903,87,798,2,9,,6,0,0,0,0,0,0,0,0,0,0,0,1
,"CITY OF MILWAUKEE Ward 21",824,45,762,2,5,,5,1,0,0,1,0,0,0,0,0,0,0,3
,"CITY OF MILWAUKEE Ward 22",795,74,700,3,11,,4,0,1,0,0,0,0,0,0,0,0,0,2
,"CITY OF MILWAUKEE Ward 23",334,37,287,1,5,,0,1,0,0,1,0,0,0,0,0,0,0,2
,"CITY OF MILWAUKEE Ward 24",416,16,390,0,2,,7,0,0,0,1,0,0,0,0,0,0,0,0
,"CITY OF MILWAUKEE Ward 25",746,75,656,3,1,,6,0,0,0,0,0,0,0,0,0,0,0,5
,"CITY OF MILWAUKEE Ward 26",668,54,602,2,6,,2,0,0,0,0,0,0,0,0,0,0,0,2
,"CITY OF MILWAUKEE Ward 27",656,64,577,2,4,,3,1,1,0,1,0,0,0,0,0,0,0,3
,"CITY OF MILWAUKEE Ward 28",221,24,191,1,5,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"CITY OF MILWAUKEE Ward 29",365,35,323,1,2,,3,0,0,0,0,0,0,0,0,0,0,0,1
,"CITY OF MILWAUKEE Ward 30",725,81,620,3,7,,6,3,0,0,4,0,0,0,0,0,0,0,1
,"CITY OF MILWAUKEE Ward 31",642,61,565,2,7,,3,0,0,0,0,0,0,0,0,0,0,0,4
,"CITY OF MILWAUKEE Ward 32","1,480",238,"1,209",3,15,,3,2,0,0,1,0,0,0,0,0,0,0,9
,"CITY OF MILWAUKEE Ward 33","1,989",688,"1,214",11,45,,11,1,0,0,9,0,0,0,0,0,0,0,10
,"CITY OF MILWAUKEE Ward 34","1,102",254,795,6,20,,8,3,0,0,2,0,0,0,0,0,0,0,14
,"CITY OF MILWAUKEE Ward 35",856,242,581,2,20,,2,1,0,2,3,0,0,0,0,0,0,0,3
,"CITY OF MILWAUKEE Ward 36",781,83,674,2,13,,7,0,0,0,0,0,0,0,0,0,0,0,2
,"CITY OF MILWAUKEE Ward 37",738,73,643,2,11,,4,1,0,0,0,0,0,0,0,0,0,2,2
,"CITY OF MILWAUKEE Ward 38",592,44,527,1,8,,6,0,0,0,0,0,0,0,0,0,0,0,6
,"CITY OF MILWAUKEE Ward 39",688,91,570,2,8,,8,0,1,0,3,0,0,0,0,0,0,0,5
,"CITY OF MILWAUKEE Ward 40",660,44,590,3,9,,7,2,0,0,0,0,0,0,0,0,0,0,5
,"CITY OF MILWAUKEE Ward 41",648,49,573,2,9,,4,1,0,0,0,0,0,0,0,0,0,0,10
,"CITY OF MILWAUKEE Ward 42",864,62,780,1,9,,5,3,0,0,0,0,0,0,0,0,0,0,4
,"CITY OF MILWAUKEE Ward 43",492,13,473,2,1,,1,0,0,0,0,0,0,0,0,0,0,0,2
,"CITY OF MILWAUKEE Ward 44",899,73,801,1,12,,4,0,0,0,1,0,0,0,0,0,0,0,7
,"CITY OF MILWAUKEE Ward 45",906,61,826,2,5,,1,1,1,0,1,0,0,0,0,0,0,0,8
,"CITY OF MILWAUKEE Ward 46",477,21,443,0,4,,5,0,0,0,1,0,0,0,0,0,0,0,3
,"CITY OF MILWAUKEE Ward 47",901,41,844,0,5,,5,3,0,0,0,0,0,0,0,0,0,0,3
,"CITY OF MILWAUKEE Ward 48",434,35,387,5,1,,2,1,1,0,0,0,0,0,0,0,0,0,2
,"CITY OF MILWAUKEE Ward 49",621,38,574,1,1,,2,2,0,0,0,0,0,0,0,0,0,0,3
,"CITY OF MILWAUKEE Ward 50",577,32,532,0,6,,2,4,0,0,0,0,0,0,0,0,0,0,1
,"CITY OF MILWAUKEE Ward 51",568,17,540,4,3,,2,0,0,0,0,0,0,0,0,0,0,0,2
,"CITY OF MILWAUKEE Ward 52",799,40,740,3,9,,1,0,0,0,0,0,0,0,0,0,0,0,6
,"CITY OF MILWAUKEE Ward 53",357,16,335,0,0,,3,1,0,0,2,0,0,0,0,0,0,0,0
,"CITY OF MILWAUKEE Ward 54",459,12,437,0,4,,4,1,0,0,0,0,0,0,0,0,0,0,1
,"CITY OF MILWAUKEE Ward 55","1,033",166,829,3,17,,7,0,1,0,2,0,0,0,0,0,0,0,8
,"CITY OF MILWAUKEE Ward 56",639,12,616,2,3,,2,0,1,0,2,0,0,0,0,0,0,0,1
,"CITY OF MILWAUKEE Ward 57",864,15,838,0,2,,6,2,0,0,0,0,0,0,0,0,0,0,1
,"CITY OF MILWAUKEE Ward 58",637,26,604,0,1,,1,0,0,0,0,0,0,0,0,0,0,0,5
,"CITY OF MILWAUKEE Ward 59","1,239",28,"1,191",2,6,,7,1,0,0,0,0,0,0,0,0,0,0,4
,"CITY OF MILWAUKEE Ward 60",883,13,853,4,3,,3,1,0,0,0,0,0,0,0,0,0,0,6
,"CITY OF MILWAUKEE Ward 61",763,19,732,1,8,,3,0,0,0,0,0,0,0,0,0,0,0,0
,"CITY OF MILWAUKEE Ward 62",589,15,566,0,4,,2,0,0,0,0,0,0,0,0,0,0,0,2
,"CITY OF MILWAUKEE Ward 63",564,8,548,1,1,,4,1,0,0,0,0,0,0,0,0,0,0,1
,"CITY OF MILWAUKEE Ward 64","1,274",31,"1,223",0,5,,9,1,0,0,2,0,0,0,0,0,0,0,3
,"CITY OF MILWAUKEE Ward 65","1,021",41,963,2,5,,7,0,0,0,1,0,0,0,0,0,0,0,2
,"CITY OF MILWAUKEE Ward 66",676,10,656,0,5,,1,0,0,0,0,0,0,0,0,0,0,0,4
,"CITY OF MILWAUKEE Ward 67",546,18,516,1,6,,1,0,0,0,0,0,0,0,0,0,0,0,4
,"CITY OF MILWAUKEE Ward 68","1,087",77,994,2,5,,5,1,0,0,0,0,0,0,0,0,0,0,3
,"CITY OF MILWAUKEE Ward 69",831,46,771,2,4,,3,0,0,0,1,0,0,0,0,0,0,0,4
,"CITY OF MILWAUKEE Ward 70","1,174",59,"1,073",5,15,,12,1,1,0,0,0,0,0,0,0,0,0,8
,"CITY OF MILWAUKEE Ward 71",635,32,594,0,4,,3,0,0,0,0,0,0,0,0,0,0,0,2
,"CITY OF MILWAUKEE Ward 72",898,61,809,3,16,,1,0,0,0,1,0,0,0,0,0,0,0,7
,"CITY OF MILWAUKEE Ward 73",994,89,881,3,7,,6,1,0,0,0,0,0,0,0,0,0,0,7
,"CITY OF MILWAUKEE Ward 74",638,63,557,3,4,,3,2,1,0,0,0,0,0,0,0,0,0,5
,"CITY OF MILWAUKEE Ward 75",646,133,482,4,6,,8,1,1,0,7,0,0,0,0,0,0,0,4
,"CITY OF MILWAUKEE Ward 76",649,56,575,0,8,,3,0,0,0,0,0,0,0,0,0,0,0,7
,"CITY OF MILWAUKEE Ward 77",615,84,518,4,4,,3,0,0,0,0,0,0,0,0,0,0,0,2
,"CITY OF MILWAUKEE Ward 78","1,025",144,839,1,14,,11,1,1,0,3,0,0,0,0,0,0,0,11
,"CITY OF MILWAUKEE Ward 79","1,051",147,861,2,21,,10,0,0,0,4,0,0,0,0,0,0,0,6
,"CITY OF MILWAUKEE Ward 80","1,449",372,"1,006",5,41,,12,0,0,0,4,0,0,0,0,0,0,0,9
,"CITY OF MILWAUKEE Ward 81",530,197,296,1,26,,1,0,0,0,4,0,0,0,0,0,0,0,5
,"CITY OF MILWAUKEE Ward 82",760,304,389,5,42,,8,1,0,0,3,0,0,0,0,0,0,0,8
,"CITY OF MILWAUKEE Ward 83",932,363,494,4,50,,8,0,0,0,8,0,0,0,0,0,0,0,5
,"CITY OF MILWAUKEE Ward 84",669,224,391,1,28,,5,1,2,0,7,0,0,0,0,0,0,0,10
,"CITY OF MILWAUKEE Ward 85",947,300,574,1,41,,12,0,0,0,2,0,0,0,0,0,0,0,17
,"CITY OF MILWAUKEE Ward 86",920,318,527,3,45,,8,1,1,0,8,0,0,0,0,0,0,0,9
,"CITY OF MILWAUKEE Ward 87",580,171,363,2,28,,6,0,0,0,5,2,0,0,0,0,0,0,3
,"CITY OF MILWAUKEE Ward 88",682,187,442,3,25,,9,1,0,0,7,2,0,0,0,0,0,0,6
,"CITY OF MILWAUKEE Ward 89",919,253,604,2,36,,10,0,1,0,5,0,0,0,0,0,0,0,8
,"CITY OF MILWAUKEE Ward 90",923,215,654,3,19,,17,1,0,0,7,0,0,0,0,0,0,0,7
,"CITY OF MILWAUKEE Ward 91","1,263",112,"1,114",3,17,,6,1,0,0,1,0,0,0,0,0,0,0,9
,"CITY OF MILWAUKEE Ward 92","1,241",238,933,3,34,,11,0,0,0,7,0,0,0,0,0,0,0,15
,"CITY OF MILWAUKEE Ward 93",601,168,399,1,21,,6,0,1,0,4,0,0,0,0,0,0,0,1
,"CITY OF MILWAUKEE Ward 94",436,23,412,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0
,"CITY OF MILWAUKEE Ward 95",560,31,522,0,1,,4,0,0,0,0,0,0,0,0,0,0,0,2
,"CITY OF MILWAUKEE Ward 96",956,104,823,2,15,,6,0,0,0,0,0,0,0,0,0,0,0,6
,"CITY OF MILWAUKEE Ward 97",863,168,661,2,15,,4,0,0,0,1,0,0,0,0,0,0,0,12
,"CITY OF MILWAUKEE Ward 98",597,24,561,2,3,,3,1,0,0,0,0,0,0,0,0,0,0,3
,"CITY OF MILWAUKEE Ward 99","1,093",78,990,3,6,,6,0,0,0,1,0,0,0,0,0,0,0,9
,"CITY OF MILWAUKEE Ward 100",707,25,671,2,5,,2,0,0,0,0,0,0,0,0,0,0,0,2
,"CITY OF MILWAUKEE Ward 101",990,24,944,0,7,,11,0,1,0,0,0,0,0,0,0,0,0,3
,"CITY OF MILWAUKEE Ward 102","1,084",36,"1,026",1,4,,6,0,0,0,1,0,0,0,0,0,0,0,10
,"CITY OF MILWAUKEE Ward 103","1,300",64,"1,210",2,4,,8,2,0,0,1,0,0,0,0,0,0,0,9
,"CITY OF MILWAUKEE Ward 104","1,182",26,"1,138",1,2,,8,2,0,0,3,0,0,0,0,0,0,0,2
,"CITY OF MILWAUKEE Ward 105",478,3,469,0,3,,1,0,0,0,0,0,0,0,0,0,0,0,2
,"CITY OF MILWAUKEE Ward 106",440,10,429,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1
,"CITY OF MILWAUKEE Ward 107",706,7,689,0,4,,4,0,0,0,0,0,0,0,0,0,0,1,1
,"CITY OF MILWAUKEE Ward 108",668,13,649,2,2,,2,0,0,0,0,0,0,0,0,0,0,0,0
,"CITY OF MILWAUKEE Ward 109",741,8,728,1,0,,1,2,0,0,0,0,0,0,0,0,0,0,1
,"CITY OF MILWAUKEE Ward 110",429,3,417,0,1,,2,0,2,0,0,0,0,0,0,0,0,0,4
,"CITY OF MILWAUKEE Ward 111",545,6,527,0,5,,6,0,0,0,0,0,0,0,0,0,0,0,1
,"CITY OF MILWAUKEE Ward 112",664,13,641,0,2,,4,1,0,0,0,0,0,0,0,0,0,0,3
,"CITY OF MILWAUKEE Ward 113",571,10,557,1,0,,0,1,0,0,0,0,0,0,0,0,0,0,2
,"CITY OF MILWAUKEE Ward 114",516,7,501,0,4,,0,1,0,0,0,0,0,0,0,0,0,0,3
,"CITY OF MILWAUKEE Ward 115",884,13,863,0,2,,3,0,0,0,0,0,0,0,0,0,0,0,3
,"CITY OF MILWAUKEE Ward 116",457,10,438,0,1,,2,1,0,0,0,0,0,0,0,0,0,0,5
,"CITY OF MILWAUKEE Ward 117",594,5,581,0,3,,3,0,0,0,0,0,0,0,0,0,0,0,2
,"CITY OF MILWAUKEE Ward 118",635,16,610,1,3,,2,1,0,0,0,0,0,0,0,0,0,0,2
,"CITY OF MILWAUKEE Ward 119",632,14,608,0,2,,4,1,0,0,0,0,0,0,0,0,0,0,3
,"CITY OF MILWAUKEE Ward 120",589,11,568,1,5,,3,0,0,0,0,0,0,0,0,0,0,0,1
,"CITY OF MILWAUKEE Ward 121",694,10,674,0,1,,4,2,0,0,0,0,0,0,0,0,0,0,3
,"CITY OF MILWAUKEE Ward 122",767,29,717,1,8,,10,1,0,0,0,0,0,0,0,0,0,0,1
,"CITY OF MILWAUKEE Ward 123",907,54,804,0,14,,28,2,0,0,0,0,0,0,0,0,0,0,5
,"CITY OF MILWAUKEE Ward 124",568,56,473,1,21,,9,0,0,0,0,0,0,0,0,0,0,0,8
,"CITY OF MILWAUKEE Ward 125","1,135",129,923,4,28,,34,2,1,0,4,0,0,0,0,0,0,0,10
,"CITY OF MILWAUKEE Ward 126",837,55,732,0,24,,13,0,1,0,2,2,0,0,0,0,0,0,8
,"CITY OF MILWAUKEE Ward 127","1,278",245,904,3,63,,38,0,2,0,3,0,0,0,0,0,0,0,20
,"CITY OF MILWAUKEE Ward 128","1,541",337,"1,052",2,88,,41,2,0,0,3,0,0,0,0,0,0,0,16
,"CITY OF MILWAUKEE Ward 129",963,180,706,1,46,,13,1,0,0,4,1,0,0,0,0,0,0,11
,"CITY OF MILWAUKEE Ward 130","1,304",325,863,7,64,,29,0,5,0,2,0,0,0,0,0,0,0,9
,"CITY OF MILWAUKEE Ward 131","1,084",252,743,3,45,,11,0,1,0,9,0,0,0,0,0,0,0,20
,"CITY OF MILWAUKEE Ward 132","1,559",357,"1,133",3,35,,13,0,0,0,6,0,0,0,0,0,0,0,12
,"CITY OF MILWAUKEE Ward 133",893,132,680,0,43,,25,2,2,0,1,0,0,0,0,0,0,0,8
,"CITY OF MILWAUKEE Ward 134",934,148,680,3,64,,18,1,0,0,2,0,0,0,0,1,0,0,17
,"CITY OF MILWAUKEE Ward 135","1,040",159,775,2,55,,28,1,1,0,5,2,0,0,0,0,0,0,12
,"CITY OF MILWAUKEE Ward 136","1,022",154,768,3,58,,26,2,0,0,0,0,0,0,0,0,0,0,11
,"CITY OF MILWAUKEE Ward 137",698,85,566,2,23,,12,1,0,0,3,0,0,0,0,0,0,1,5
,"CITY OF MILWAUKEE Ward 138","1,867",126,"1,582",4,47,,76,8,0,0,2,0,0,0,0,0,0,0,22
,"CITY OF MILWAUKEE Ward 139","1,306",78,"1,134",4,29,,45,3,1,0,1,0,0,0,0,0,0,1,10
,"CITY OF MILWAUKEE Ward 140",469,23,436,0,3,,1,0,1,0,0,0,0,0,0,0,0,1,4
,"CITY OF MILWAUKEE Ward 141",572,20,529,4,5,,12,0,0,0,0,0,0,0,0,0,0,0,2
,"CITY OF MILWAUKEE Ward 142",566,12,538,1,5,,3,0,0,0,2,0,0,0,0,0,0,0,5
,"CITY OF MILWAUKEE Ward 143",548,8,531,0,2,,1,1,0,0,0,0,0,0,0,0,0,0,5
,"CITY OF MILWAUKEE Ward 144",417,9,405,0,1,,1,0,0,0,0,0,0,0,0,0,0,0,1
,"CITY OF MILWAUKEE Ward 145",251,2,244,0,0,,2,1,0,0,0,0,0,0,0,0,0,0,2
,"CITY OF MILWAUKEE Ward 146",247,1,242,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,3
,"CITY OF MILWAUKEE Ward 147",885,14,859,0,3,,4,0,0,0,0,0,0,0,0,0,0,0,5
,"CITY OF MILWAUKEE Ward 148",663,15,636,3,2,,3,1,1,0,0,0,0,0,0,0,0,0,2
,"CITY OF MILWAUKEE Ward 149",757,10,734,1,1,,7,0,1,0,1,0,0,0,0,0,0,0,2
,"CITY OF MILWAUKEE Ward 150",610,20,569,2,3,,7,1,0,0,0,0,0,0,0,0,0,0,8
,"CITY OF MILWAUKEE Ward 151",442,6,429,1,4,,0,0,0,0,0,0,0,0,0,0,0,0,2
,"CITY OF MILWAUKEE Ward 152",387,12,368,2,3,,1,1,0,0,0,0,0,0,0,0,0,0,0
,"CITY OF MILWAUKEE Ward 153",662,33,603,0,5,,14,1,0,0,1,0,0,0,0,0,0,0,5
,"CITY OF MILWAUKEE Ward 154",590,17,567,0,1,,1,1,0,0,0,0,0,0,0,0,0,0,3
,"CITY OF MILWAUKEE Ward 155",487,11,460,0,2,,4,2,0,0,0,0,0,0,0,0,0,0,8
,"CITY OF MILWAUKEE Ward 156",701,17,659,0,10,,5,2,0,0,1,0,0,0,0,0,0,0,7
,"CITY OF MILWAUKEE Ward 157",529,34,473,2,7,,8,0,0,0,0,0,0,0,0,0,0,0,5
,"CITY OF MILWAUKEE Ward 158",473,18,436,1,8,,5,0,0,0,1,0,0,0,0,0,0,0,4
,"CITY OF MILWAUKEE Ward 159",482,23,441,0,9,,3,1,0,0,1,0,0,0,0,0,0,0,4
,"CITY OF MILWAUKEE Ward 160",618,9,601,0,0,,3,2,0,0,1,0,0,0,0,0,0,0,2
,"CITY OF MILWAUKEE Ward 161",214,6,204,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"CITY OF MILWAUKEE Ward 162",372,8,355,0,3,,2,0,0,0,0,0,0,0,0,0,0,0,4
,"CITY OF MILWAUKEE Ward 163",659,24,617,0,6,,7,0,0,0,1,0,0,0,0,0,0,0,4
,"CITY OF MILWAUKEE Ward 164",814,93,703,1,10,,4,1,0,0,0,0,0,0,0,0,0,0,2
,"CITY OF MILWAUKEE Ward 165",706,111,563,2,14,,7,0,0,0,4,0,0,0,0,0,0,0,5
,"CITY OF MILWAUKEE Ward 166",327,43,263,3,5,,6,0,0,0,4,0,0,0,0,0,0,0,3
,"CITY OF MILWAUKEE Ward 167",794,141,597,4,29,,12,0,1,0,6,0,0,0,0,0,0,0,4
,"CITY OF MILWAUKEE Ward 168","1,428",261,"1,062",4,53,,18,1,0,0,9,0,0,0,0,0,0,0,20
,"CITY OF MILWAUKEE Ward 169",482,24,443,0,2,,6,0,2,0,0,0,0,0,0,0,0,0,5
,"CITY OF MILWAUKEE Ward 170",393,11,374,0,4,,0,2,0,0,0,0,0,0,0,0,0,0,2
,"CITY OF MILWAUKEE Ward 171",153,6,141,1,2,,1,0,1,0,0,0,0,0,0,0,0,0,1
,"CITY OF MILWAUKEE Ward 172",475,21,446,1,2,,1,0,1,0,1,0,0,0,0,0,0,0,2
,"CITY OF MILWAUKEE Ward 173",617,18,588,0,0,,1,0,1,0,0,0,0,0,0,0,0,0,9
,"CITY OF MILWAUKEE Ward 174",824,26,782,1,3,,4,1,0,0,0,0,0,0,0,0,0,0,7
,"CITY OF MILWAUKEE Ward 175",567,41,509,2,10,,4,0,0,0,1,0,0,0,0,0,0,0,0
,"CITY OF MILWAUKEE Ward 176",739,20,711,0,5,,0,1,0,0,0,0,0,0,0,0,0,0,2
,"CITY OF MILWAUKEE Ward 177","1,806",324,"1,330",4,96,,26,1,2,0,2,0,0,0,0,0,0,0,21
,"CITY OF MILWAUKEE Ward 178","1,300",245,919,2,92,,19,3,1,0,4,0,0,0,0,0,0,0,15
,"CITY OF MILWAUKEE Ward 179","1,579",240,"1,183",4,93,,32,1,1,0,0,0,0,0,0,0,0,0,25
,"CITY OF MILWAUKEE Ward 180","1,132",192,845,2,54,,10,1,1,0,7,0,0,0,0,0,0,0,20
,"CITY OF MILWAUKEE Ward 181","1,493",320,"1,068",1,62,,14,1,0,0,7,0,0,0,0,0,0,0,20
,"CITY OF MILWAUKEE Ward 182","1,466",276,"1,047",1,86,,31,0,2,0,4,0,0,0,0,0,0,1,18
,"CITY OF MILWAUKEE Ward 183","1,936",419,"1,343",5,106,,36,1,3,0,4,0,0,2,0,0,0,0,17
,"CITY OF MILWAUKEE Ward 184","1,447",361,953,7,84,,22,1,2,0,2,0,0,0,0,0,0,0,15
,"CITY OF MILWAUKEE Ward 185","1,965",462,"1,328",8,108,,23,1,0,0,12,0,0,0,0,0,0,1,22
,"CITY OF MILWAUKEE Ward 186","2,001",554,"1,267",4,120,,15,0,2,0,8,0,0,0,0,0,0,0,31
,"CITY OF MILWAUKEE Ward 187",537,115,374,2,31,,8,1,0,0,1,0,0,0,0,0,0,0,5
,"CITY OF MILWAUKEE Ward 188",462,120,299,0,28,,6,0,0,0,1,0,0,0,0,0,0,0,8
,"CITY OF MILWAUKEE Ward 189",617,95,484,1,20,,5,0,0,0,0,0,0,0,0,0,0,0,12
,"CITY OF MILWAUKEE Ward 190","1,369",355,866,8,96,,13,2,3,0,4,4,0,0,0,0,0,0,18
,"CITY OF MILWAUKEE Ward 191","1,004",299,633,4,49,,10,0,0,0,2,2,0,0,0,0,0,0,5
,"CITY OF MILWAUKEE Ward 192",999,253,665,5,48,,5,0,0,0,6,2,0,1,0,0,0,0,14
,"CITY OF MILWAUKEE Ward 193",621,30,564,2,4,,13,2,0,0,1,0,0,0,0,0,0,1,4
